1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
33.41,34.1598,33.17,33.66,33.66,22885077.0,0.0,1.0
33.3,34.31,33.27,33.87,33.87,26441261.0,0.0,1.0
35.02,35.02,33.275,33.4,33.4,40823090.0,0.0,1.0
36.63,36.6698,35.26,35.38,35.38,34919921.0,0.0,1.0
35.63,35.98,35.29,35.63,35.63,25768519.0,0.0,1.0
35.44,36.36,35.02,35.13,35.13,33553353.0,0.0,1.0
36.28,37.03,34.9301,35.05,35.05,37507903.0,0.0,1.0
35.43,36.86,34.425,36.77,36.77,36092964.0,0.0,1.0
35.59,36.07,35.2,35.38,35.38,23755076.0,0.0,1.0
36.2,36.5,35.57,36.01,36.01,27152710.0,0.0,1.0
35.21,35.825,35.12,35.7,35.7,26608046.0,0.0,1.0
35.52,35.8199,34.88,34.9,34.9,31706648.0,0.0,1.0
36.11,36.315,34.54,35.17,35.17,57611743.0,0.0,1.0
37.3,37.57,36.97,37.51,37.51,29615381.0,0.0,1.0
37.54,37.67,36.74,37.09,37.09,33023127.0,0.0,1.0
38.0,38.15,36.95,38.03,38.03,27049398.0,0.0,1.0
38.49,39.4,37.69,37.89,37.89,30857168.0,0.0,1.0
38.01,38.39,36.5629,38.39,38.39,38410021.0,0.0,1.0
38.62,39.52,37.895,37.98,37.98,29273633.0,0.0,1.0
37.98,38.85,37.55,38.45,38.45,33812018.0,0.0,1.0
39.17,39.426,37.81,38.14,38.14,51800000.0,0.0,1.0
40.85,41.86,40.59,40.59,40.59,35292646.0,0.0,1.0
40.11,40.965,39.831,40.37,40.37,30385247.0,0.0,1.0
39.065,41.02,38.9,40.35,40.35,43900697.0,0.0,1.0
37.49,39.93,37.2,39.08,39.08,56911487.0,0.0,1.0
38.24,39.39,37.9,39.31,39.31,44942246.0,0.0,1.0
38.17,38.28,36.64,37.8,37.8,38127959.0,0.0,1.0
38.23,38.47,37.83,38.05,38.05,23496731.0,0.0,1.0
