date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-01-14,226.62,232.0,222.3,230.03,230.03,4325586.0,0.0,1.0
2022-01-13,241.99,242.87,227.19,228.23,228.23,3814065.0,0.0,1.0
2022-01-12,242.11,246.27,234.42,234.7,234.7,3937013.0,0.0,1.0
2022-01-11,225.5,238.0,222.18,237.23,237.23,5559968.0,0.0,1.0
2022-01-10,224.43,225.26,214.64,225.01,225.01,6800758.0,0.0,1.0
2022-01-07,233.63,238.48,227.59,232.33,232.33,3311993.0,0.0,1.0
2022-01-06,233.19,235.98,224.8801,234.0,234.0,5236023.0,0.0,1.0
2022-01-05,247.715,248.69,232.86,234.23,234.23,5196254.0,0.0,1.0
2022-01-04,253.05,258.8099,244.14,250.15,250.15,3652562.0,0.0,1.0
2022-01-03,256.275,257.03,250.64,251.05,251.05,3363202.0,0.0,1.0
2021-12-31,255.81,259.215,251.52,252.37,252.37,2349441.0,0.0,1.0
2021-12-30,252.6,260.0,252.0411,256.79,256.79,2887587.0,0.0,1.0
2021-12-29,256.67,263.01,251.3652,252.6,252.6,3474312.0,0.0,1.0
2021-12-28,270.0,270.98,259.69,261.33,261.33,4372818.0,0.0,1.0
2021-12-27,270.26,281.9899,270.2,280.27,280.27,4458617.0,0.0,1.0
2021-12-23,256.555,269.305,253.5,268.15,268.15,4106052.0,0.0,1.0
2021-12-22,248.505,254.79,245.64,254.55,254.55,3779126.0,0.0,1.0
2021-12-21,244.15,248.115,239.59,247.69,247.69,2776472.0,0.0,1.0
2021-12-20,236.56,239.37,231.77,238.05,238.05,3572210.0,0.0,1.0
2021-12-17,240.0,250.48,236.0,243.35,243.35,4420273.0,0.0,1.0
2021-12-16,264.455,268.26,244.6301,247.17,247.17,3346623.0,0.0,1.0
2021-12-15,254.49,261.1699,242.26,258.3,258.3,4623492.0,0.0,1.0
2021-12-14,247.2788,260.5,243.5,255.86,255.86,3866603.0,0.0,1.0
2021-12-13,252.14,256.5,244.8,251.37,251.37,3410449.0,0.0,1.0
2021-12-10,266.3,269.19,250.15,255.76,255.76,5062115.0,0.0,1.0
2021-12-09,284.97,284.99,258.921,263.91,263.91,5394557.0,0.0,1.0
2021-12-08,284.435,290.0,278.29,287.48,287.48,2495937.0,0.0,1.0
2021-12-07,277.645,290.19,274.9142,286.42,286.42,4648218.0,0.0,1.0
2021-12-06,253.125,267.2294,244.46,263.24,263.24,5366366.0,0.0,1.0
2021-12-03,286.0,286.0,258.16,265.65,265.65,7271065.0,0.0,1.0
2021-12-02,295.16,305.32,283.82,284.71,284.71,4625052.0,0.0,1.0
2021-12-01,318.6,323.0,293.7,294.5,294.5,4278100.0,0.0,1.0
2021-11-30,320.75,331.7,310.98,315.0,315.0,7168355.0,0.0,1.0
2021-11-29,312.2228,321.575,306.75,319.39,319.39,4159701.0,0.0,1.0
2021-11-26,301.3,307.92,299.151,303.19,303.19,2678688.0,0.0,1.0
2021-11-24,309.38,316.32,305.88,312.38,312.38,2759755.0,0.0,1.0
2021-11-23,312.5,319.7,304.6,317.2,317.2,3469582.0,0.0,1.0
2021-11-22,333.33,335.9,310.67,315.48,315.48,5013637.0,0.0,1.0
2021-11-19,325.56,339.41,325.4,332.55,332.55,3687652.0,0.0,1.0
2021-11-18,343.0,344.8399,323.41,323.57,323.57,5408786.0,0.0,1.0
2021-11-17,342.025,348.49,338.18,346.52,346.52,3772131.0,0.0,1.0
2021-11-16,333.14,347.4,331.58,342.12,342.12,4128078.0,0.0,1.0
2021-11-15,345.1,355.1999,339.03,345.36,345.36,4465702.0,0.0,1.0
2021-11-12,339.25,344.0,332.56,342.98,342.98,4442125.0,0.0,1.0
2021-11-11,327.428,342.4899,327.0007,336.39,336.39,4905822.0,0.0,1.0
2021-11-10,327.22,348.9799,320.0,328.6,328.6,15168856.0,0.0,1.0
2021-11-09,367.39,368.9,345.06,357.39,357.39,9044071.0,0.0,1.0
2021-11-08,349.5009,363.17,345.56,353.92,353.92,8531091.0,0.0,1.0
2021-11-05,345.23,345.23,333.442,337.05,337.05,3527615.0,0.0,1.0
